strain,day,mean_b,genotype,age,intrinsic_growth_rate
JU440,Day 2,92.4,swept,4,1.1769316935783
JU440,Day 3,91.8,swept,5,1.06224671836292
JU440,Day 4,51.4,swept,6,0.922889044503089
JU440,Day 5,29.4,swept,7,0.806694189608083
XZ1513,Day 1,19.2,divergent,3,0.984970093011245
XZ1513,Day 2,80,divergent,4,1.14928450357271
XZ1513,Day 3,27.8,divergent,5,0.968837417291718
XZ1513,Day 4,3.6,divergent,6,0.812023202807055
XZ1513,Day 5,0.4,divergent,7,0.696456760457307
ED3040,Day 1,60,swept,3,1.3647815207407
ED3040,Day 2,135.8,swept,4,1.3192734325241
ED3040,Day 3,71.4,swept,5,1.1175994883325
ED3040,Day 4,17,swept,6,0.941613035943833
ED3040,Day 5,7.4,swept,7,0.810769000019215
EG4349,Day 1,54.2,swept,3,1.33089363614853
EG4349,Day 2,119.4,swept,4,1.28918845055656
EG4349,Day 3,89.4,swept,5,1.11443080643555
EG4349,Day 4,19.4,swept,6,0.940554084269848
EG4349,Day 5,6.4,swept,7,0.809390629574096
JU1172,Day 1,45.8,swept,3,1.27476136370671
JU1172,Day 2,123.6,swept,4,1.28306569555449
JU1172,Day 3,70.2,swept,5,1.09579417324826
JU1172,Day 4,16.6,swept,6,0.924326398243772
JU1172,Day 5,11,swept,7,0.798285348808927
JU775,Day 1,53.75,swept,3,1.32811455566926
JU775,Day 2,133.25,swept,4,1.30777715421365
JU775,Day 3,44.25,swept,5,1.08869987527851
JU775,Day 4,3.25,swept,6,0.909575931314389
JU775,Day 5,0.5,swept,7,0.77994078773488
QG556,Day 1,44,swept,3,1.26139654463942
QG556,Day 2,114,swept,4,1.26564875825674
QG556,Day 3,57.75,swept,5,1.07482406599271
QG556,Day 4,12,swept,6,0.904708089356678
QG556,Day 5,1.25,swept,7,0.776246000507749
DL226,Day 1,53.6,swept,3,1.32718302269225
DL226,Day 2,136.2,swept,4,1.31149272154396
DL226,Day 3,76.2,swept,5,1.11669926175634
DL226,Day 4,11.6,swept,6,0.937696871438775
DL226,Day 5,1.8,swept,7,0.804663492403266
ECA928,Day 1,43.25,swept,3,1.2556657444593
ECA928,Day 2,94.5,swept,4,1.23136011200826
ECA928,Day 3,53.75,swept,5,1.05097756172414
ECA928,Day 4,22.75,swept,6,0.894523926246315
ECA928,Day 5,4.25,swept,7,0.769540859219378
ED3005,Day 1,39.2,swept,3,1.22289224893214
ED3005,Day 2,117.4,swept,4,1.26342369588918
ED3005,Day 3,81,swept,5,1.0941177174977
ED3005,Day 4,23.6,swept,6,0.927547732900379
ED3005,Day 5,8.6,swept,7,0.799668706253379
ED3011,Day 1,43,swept,3,1.25373337189785
ED3011,Day 2,125.5,swept,4,1.2817339374481
ED3011,Day 3,108,swept,5,1.12444216419248
ED3011,Day 4,17,swept,6,0.946979606544692
ED3011,Day 5,1,swept,7,0.812182714727377
JU1491,Day 1,54.8,swept,3,1.33456339798466
JU1491,Day 2,161.8,swept,4,1.34451308364172
JU1491,Day 3,91.2,swept,5,1.14589004428096
JU1491,Day 4,21.6,swept,6,0.96621213629059
JU1491,Day 5,6,swept,7,0.83076054991273
KR314,Day 1,41.25,swept,3,1.23988370426023
KR314,Day 2,140.75,swept,4,1.3010016717692
KR314,Day 3,83.75,swept,5,1.11651120344441
KR314,Day 4,26,swept,6,0.945982878527778
KR314,Day 5,16,swept,7,0.818469680723509
MY1,Day 1,51,swept,3,1.31060854424144
